Time (s),Gyroscope x (rad/s),Gyroscope y (rad/s),Gyroscope z (rad/s)
584.0356108,0,-0.000610865,0
584.0856108,-0.00122173,0.000610865,0
584.1356108,0.00122173,-0.000610865,0
584.1856108,-0.00122173,0.000610865,0.000610865
584.2356108,-0.000610865,-0.000610865,0
584.2856108,0.000610865,0,0
584.3356108,0,0.000610865,0
584.3856108,0.000610865,0.00122173,-0.000610865
584.4356108,0.000610865,0,0.000610865
584.4856108,-0.000610865,-0.00122173,0
584.5356108,-0.00122173,0.000610865,0
584.5856108,0,0.000610865,0.000610865
584.6356108,0.000610865,0.001832596,0
584.6856108,0.000610865,-0.000610865,-0.00122173
584.7356108,0,0.001832596,-0.000610865
584.7856108,0.000610865,0.001832596,-0.000610865
584.8356108,-0.000610865,0.000610865,0.000610865
584.8856108,0.000610865,0,0.00122173
584.9356108,-0.000610865,0,-0.000610865
584.9856108,-0.00122173,-0.000610865,-0.000610865
585.0356108,0,0.001832596,0
585.0856108,0.00122173,0.000610865,-0.000610865
585.1356108,0.00122173,0.000610865,0.000610865
585.1856108,0.001832596,0.000610865,-0.000610865
585.2356108,-0.000610865,0.001832596,0
585.2856108,0,0,0.000610865
585.3356108,-0.000610865,0,0
585.3856108,-0.000610865,-0.000610865,0
585.4356108,-0.000610865,0,0
585.4856108,-0.000610865,0,0
585.5356108,-0.000610865,0.000610865,0.000610865
585.5856108,-0.001832596,0.000610865,-0.000610865
585.6356108,0,0.000610865,-0.000610865
585.6856108,0.000610865,-0.000610865,-0.00122173
585.7356108,-0.000610865,0.00122173,0
585.7856108,0.002443461,0.000610865,-0.000610865
585.8356108,-0.001832596,0.001832596,0
585.8856108,0,-0.000610865,0.000610865
585.9356108,0.00122173,0.001832596,0.000610865
585.9856108,0.000610865,0.000610865,-0.000610865
586.0356108,0,0,0
586.0856108,0.000610865,0.000610865,0.00122173
586.1356108,0,-0.000610865,0
586.1856108,0,-0.001832596,0.000610865
586.2356108,0.00122173,-0.000610865,-0.000610865
586.2856108,-0.00122173,0.000610865,0.000610865
586.3356108,0,0.00122173,0
586.3856108,-0.001832596,-0.001832596,0
586.4356108,-0.000610865,0.00122173,0.000610865
586.4856108,0.000610865,0.00122173,-0.000610865
586.5356108,-0.00122173,0,0.001832596
586.5856108,0.000610865,0.00122173,0
586.6356108,0.000610865,0.001832596,0
586.6856108,0.000610865,0.000610865,-0.000610865
586.7356108,0.000610865,0.000610865,0
586.7856108,0.000610865,0,-0.000610865
586.8356108,-0.001832596,0.00122173,0
586.8856108,0.00122173,-0.00122173,0
586.9356108,0.000610865,0.000610865,0
586.9856108,0.001832596,0.00122173,-0.000610865
587.0356108,-0.000610865,0.00122173,0
587.0856108,0,0,0.000610865
587.1356108,0,0.001832596,0
587.1856108,0.000610865,0.001832596,-0.00122173
587.2356108,0.00122173,0.00122173,-0.00122173
587.2856108,0.00122173,-0.000610865,0
587.3356108,0.000610865,0.001832596,0
587.3856108,0,-0.000610865,0
587.4356108,0.00122173,0.000610865,0
587.4856108,0.000610865,0.00122173,0.000610865
587.5356108,0.000610865,0.000610865,0
587.5856108,-0.00122173,-0.000610865,0.000610865
587.6356108,0.000610865,0.00122173,-0.000610865
587.6856108,0.000610865,-0.000610865,0
587.7356108,0,0,0.000610865
587.7856108,0.000610865,0.000610865,0.000610865
587.8356108,-0.00122173,-0.000610865,0.000610865
587.8856108,0,0.00122173,0
587.9356108,0.000610865,0.000610865,-0.000610865
587.9856108,-0.001832596,-0.001832596,-0.00122173
588.0356108,0.000610865,0.00122173,-0.000610865
588.0856108,0.001832596,-0.000610865,0.000610865
588.1356108,0,0.000610865,-0.000610865
588.1856108,0.001832596,0.00122173,0.000610865
588.2356108,-0.000610865,0.000610865,0.00122173
588.2856108,0,-0.00122173,-0.000610865
588.3356108,0,0.000610865,-0.000610865
588.3856108,0,0.000610865,0
588.4356108,-0.000610865,0.00122173,-0.00122173
588.4856108,0.000610865,0.000610865,0.000610865
588.5356108,0,0.000610865,0
588.5856108,0.001832596,0.001832596,-0.000610865
588.6356108,-0.000610865,0.000610865,0
588.6856108,0,0.000610865,0.000610865
588.7356108,0,0.001832596,0
588.7856108,-0.000610865,0.00122173,-0.00122173
588.8356108,0.000610865,0,-0.000610865
588.8856108,0,-0.000610865,-0.000610865
588.9356108,0.000610865,0.00122173,0
588.9856108,0.00122173,-0.000610865,-0.000610865
589.0356108,0.000610865,-0.000610865,-0.00122173
589.0856108,0,0.00122173,0
589.1356108,0.000610865,0.002443461,0
589.1856108,0.000610865,0.00122173,-0.00122173
589.2356108,0.001832596,-0.000610865,-0.000610865
589.2856108,0.000610865,0.000610865,-0.000610865
589.3356108,0.001832596,0.000610865,-0.001832596
589.3856108,0,0,-0.000610865
589.4356108,0,0.000610865,-0.000610865
589.4856108,0.000610865,-0.000610865,-0.00122173
589.5356108,0,0.00122173,-0.00122173
589.5856108,0,-0.000610865,-0.000610865
589.6356108,0,-0.00122173,0
589.6856108,0.000610865,0,0
589.7356108,0,-0.000610865,-0.000610865
589.7856108,-0.000610865,0.00122173,0
589.8356108,-0.00122173,0.00122173,-0.000610865
589.8856108,0.00122173,-0.001832596,-0.000610865
589.9356108,0.002443461,0,-0.000610865
589.9856108,0,0.003054326,-0.000610865
590.0356108,-0.001832596,-0.000610865,0.000610865
590.0856108,-0.000610865,0,-0.000610865
590.1356108,-0.00122173,0.000610865,-0.00122173
590.1856108,-0.00122173,-0.00122173,-0.00122173
590.2356108,0,0,-0.00122173
590.2856108,-0.000610865,0.00122173,0
590.3356108,0,0.00122173,-0.000610865
590.3856108,0.000610865,0.001832596,-0.001832596
590.4356108,0.00122173,-0.00122173,-0.000610865
590.4856108,0,0.000610865,-0.000610865
590.5356108,-0.00122173,0.00122173,-0.00122173
